kode_produk,HNA,HET,UOM,berat_gram,panjang_cm,lebar_cm,tinggi_cm,is_life_saving,volume_cm3,kategori_pengiriman
ACTI108,1221322.5,1648785.8,BOX,560,14,6,34,0,"3,946",3
ACTI109,1221322.5,1648785.8,BOX,570,14,6,34,0,"3,946",3
GYPS009,1866217.5,2519394.05,ROL,500,25,8,24,0,"19,335",02-A
DYNA013,2174215,2935190.25,ROL,"1,550.00",15,27,27,0,"12,271",02-B
DYNA014,2338562.5,3157059.8,ROL,"1,950.00",27,17,28,0,"13,712",02-B
DYNA015,2557820,3453057,ROL,"2,700.00",27,22,28,0,"17,529",02-B
DYNA020,229925,310398.75,PCS,650,40,17,7,0,"7,140",02-B
DYNA021,180157.5,243213.05,PCS,800,40,17,7,0,"5,740",02-B
DYNA022,247307.5,333865.55,PCS,"1,000.00",50,17,7,0,"7,140",02-B
DYNA023,469880,634338,PCS,"1,350.00",46,20,14,0,"13,971",02-B
DYNA024,426700,576045,PCS,160,50,17,1,0,"13,971",02-B
DYNA025,513910,693778.5,PCS,"1,650.00",46,20,14,0,"13,971",02-B
TENS014,81515,110045.25,ROL,100,6,6,9,0,439,02-A
ULTR006,693897.5,936762.05,PSG,100,21,12,2,0,504,3
ULTR057,833127.5,1124722.55,BOX,10,12,3,21,0,723,02-A
ULTR060,833127.5,1124722.55,BOX,10,12,3,21,0,723,02-A
ULTR062,833127.5,1124722.55,BOX,10,12,3,21,0,723,02-A
ULTR076,654670,883804.5,BOX,10,12,3,21,0,723,02-A
ULTR078,654670,883804.5,BOX,10,12,3,21,0,723,02-A
ULTR079,654670,883804.5,BOX,10,12,3,21,0,723,02-A
CUTI026,81430,109930.5,TUB,15,10,5,3,0,147,02-A
CUTI027,108630,146650.5,TUB,40,22,14,7,0,234,02-A
CUTI033,99790,134716.5,SAC,20,14,11,11,0,29,3
CUTI035,40162.5,54219.8,SAC,20,14,11,0,0,1,3
CUTI036,60945,82275.75,SAC,20,14,11,0,0,1,3
CUTI037,96730,130585.5,SAC,16,14,11,0,0,1,3
CUTI038,201450,271957.5,SAC,110,14,11,0,0,1,3
CUTI039,140462.5,189624.8,SAC,10,14,11,0,0,1,3
CUTI086,970275,1309871.25,BOX,188,14,12,2,0,422,3
CUTI087,1360850,1837147.5,BOX,160,23,12,2,0,760,3
CUTI068,64345,86865.75,SAC,500,15,2,14,0,412,02-A
CUTI082,101532.5,137069.3,SAC,350,19,7,21,0,"2,796",02-A
CUTI083,124100,167535,SAC,20,16,6,27,0,306,02-A
CUTI085,767677.5,1036365.05,BOX,20,10,3,13,0,413,3
CUTI009,10370,13999.5,PCS,6,19,1,16,0,312,02-A
CUTI022,11305,15261.75,SAC,10,15,0,16,0,5,3
CUTI023,36932.5,49859.3,SAC,35,15,0,27,0,109,3
ELAS001,43222.5,58350.8,BOX,28,5,5,9,0,233,02-A
ELAS002,50787.5,68563.55,BOX,22.08,27,5,21,0,393,3
ELAS003,58480,78948,BOX,40,26,5,26,0,496,02-A
LEUK103,99450,134257.5,BOX,200,17,7,7,0,"1,050",3
LEUK087,160565,216762.75,BOX,200,10,7,14,0,"1,242",3
LEUK054,29197.5,39417.05,ROL,20,7,3,5,0,95,02-A
LEUK055,15597.5,21057.05,ROL,20,24,14,6,0,147,3
LEUK093,583440,787644,BOX,350,24,10,5,0,"1,119",3
LEUK099,109012.5,147167.3,BOX,100,6,7,7,0,243,3
LEUK101,99535,134372.25,BOX,40,11,6,6,0,449,3
LEUK100,208505,281481.75,BOX,150,11,7,7,0,653,3
FIXO003,55420,74817,PCS,60,6,6,6,0,221,3
HYPA006,126225,170403.75,PCS,11,6,6,11,0,585,3
HYPA007,177777.5,240000.05,PCS,140,16,6,6,0,897,3
HYPA008,223635,301907.25,PCS,200,21,6,6,0,871,3
HYPA009,15470,20884.5,PCS,21.3,6,6,6,0,224,3
HYPA010,64685,87324.75,PCS,60,6,6,6,0,198,3
FIXO005,432140,583389,ROL,250,8,11,7,0,864,3
FIXO006,607282.5,819831.8,ROL,408,8,8,15,0,"1,054",3
FIXO007,117810,159043.5,ROL,75,5,5,10,0,373,3
FIXO008,55420,74817,BOX,40,6,6,6,0,443,3
FIXO009,108545,146535.75,BOX,70,11,6,6,0,886,3
FIXO010,169447.5,228754.55,BOX,90,16,6,6,0,886,3
LEUK019,7947.5,10729.55,ROL,16,5,5,2,0,45,3
LEUK020,15767.5,21286.55,ROL,20,5,5,3,0,146,3
LEUK021,14705,19851.75,ROL,30,5,5,3,0,79,3
LEUK022,30260,40851,ROL,20,5,5,6,0,40,3
LEUK023,30472.5,41138.3,ROL,3.45,27,11,7,0,106,3
LEUK025,42925,57948.75,ROL,50,6,6,9,0,311,3
LEUK104,427550,577192.5,BOX,"1,100.00",30,12,9,0,"3,704",3
LEUK106,152575,205976.25,BOX,400,16,12,6,0,"1,542",3
LEUK107,293250,395887.5,BOX,"1,100.00",29,12,6,0,"2,046",3
LEUK036,6460,8721,PCS,8,12,12,16,0,38,3
LEUK039,14067.5,18991.55,PCS,10,13,0,30,0,116,3
LEUK056,163497.5,220722.05,BOX,150,12,9,13,0,"1,663",02-A
LEUK080,15215,20540.25,PCS,2,8,12,0,0,18,3
LEUK081,30387.5,41023.55,PCS,2,8,12,0,0,18,3
LEUK082,25500,34425,PCS,2,8,12,0,0,18,3
LEUK083,75947.5,102529.55,PCS,25,14,33,0,0,155,02-A
LEUK096,394102.5,532038.8,BOX,17,13,2,22,0,825,3
LEUK097,332690,449131.5,BOX,7,12,2,16,0,645,3
LEUK098,204722.5,276375.8,BOX,7,10,2,14,0,433,3
LEUK088,39737.5,53646.05,PCS,10,35,13,1,0,438,3
LEUK089,32725,44178.75,PCS,10,29,13,1,0,363,3
LEUK090,20570,27769.5,PCS,30,12,12,21,0,"3,010",3
LEUK091,761047.5,1027414.55,BOX,200,12,12,16,0,"2,931",3
LEUK092,8160,11016,PCS,30,12,9,13,0,"1,426",3
NORT002,19677.5,26565.05,PCS,24,50,9,4,0,197,3
NORT003,19337.5,26106.05,PCS,22,50,8,0,0,37,3
NORT004,19337.5,26106.05,PCS,24,50,9,4,0,197,3
NORT008,80282.5,108381.8,PCS,24,50,9,4,0,197,3
NORT010,80282.5,108381.8,PCS,24,50,9,4,0,197,3
NORT013,70295,94898.25,PCS,20,50,9,4,0,393,3
NORT014,70295,94898.25,PCS,20,50,9,4,0,393,3
NORT015,181475,244991.25,BOX,300,52,9,4,0,"1,794",3
NORT016,330225,445803.75,BOX,300,51,9,4,0,"1,930",3
NORT017,330225,445803.75,BOX,300,51,9,4,0,"1,930",3
CEND002,23162.5,31269.8,BTL,20,3,3,9,0,77,3
CEND003,19125,25818.75,BTL,20,3,3,9,0,77,3
CEND004,20718.75,27970.1,PCS,28.75,12,1,5,0,50,3
CEND005,29643.75,40018.85,BTL,20,3,3,9,0,77,3
SUPE002,122570,165469.5,BOX,180,18,9,5,0,810,3
METH020,335344.55,452715.1,BOX,40,9,4,5,0,206,3
DEXT007,26265,35457.75,BOX,10,14,6,4,0,301,3
SCAB001,39525,53358.75,BOX,10,9,3,3,0,56,3
VENT008,107500.35,145125.6,BOX,60,6,4,10,0,214,3
INER001,80325,108438.75,BOX,30,17,3,84,0,212,3
NEUR018,85000,114750,BOX,130,15,8,5,0,936,3
BIOP007,22100,29835,BOX,20,11,4,2,0,77,3
MYCO002,191250,258187.5,BOX,40,13,6,4,0,273,3
PRON007,26350,35572.5,BOX,100,9,8,6,0,351,3
FGTR002,361250,487687.5,BOX,620,21,23,4,0,"2,085",3
FGTR003,144500,195075,BOX,620,21,23,4,0,"2,085",3
